Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Gambia,,,,,,,158.6,156,153.4,150.8,148.4,146.1,143.8,141.5,139.3,137.1,134.9,132.6,130.5,128.3,126,123.8,121.5,119.1,116.7,114.4,112.1,109.8,107.6,105.4,103.2,100.9,98.6,96.2,93.7,91.3,88.9,86.5,84.3,82.1,80,78,76.1,74.3,72.6,70.9,69.3,67.7,66.2,64.8,63.3,62,60.6,59.3,58,56.8,55.6,54.5,53.6,52.6,51.7,50.9,50.1,49.4,48.6,47.9
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,56.6,55,53.5,52,50.5,49,47.6,46.3,45.1,44.1,43.2,42.5,41.9,41.5,41.1,40.8,40.4,40,39.5,38.9,38.1,37.1,35.9,34.5,32.9,31.2,29.3,27.4,25.5,23.6,21.9,20.2,18.6,17.2,16,14.9,13.8,12.8,12,11.3,10.6
Germany,,,,,,,,,,,,,,,,,,,23.5,22.7,22.1,21.4,20.6,19.7,18.8,17.7,16.5,15.5,14.4,13.5,12.6,11.8,11,10.4,9.8,9.2,8.7,8.3,7.8,7.4,7,6.5,6.2,5.9,5.5,5.3,5,4.8,4.6,4.5,4.4,4.3,4.2,4.1,4,3.9,3.8,3.7,3.6,3.6,3.5,3.4,3.3,3.3,3.2,3.1
Ghana,151.8,148.3,144.8,141.6,138.5,135.6,132.9,130.6,128.6,126.7,125.1,123.8,122.7,121.8,121.2,120.8,120.7,120.6,120.6,120.5,120.1,119.5,118.2,116.5,114.2,111.5,108.7,106,103.8,102.1,100.9,100.1,99.3,98.4,96.8,94.7,92.1,89,85.8,82.7,79.8,77.5,75.6,74.1,73,72,71,69.8,68.4,66.7,64.9,63,61.2,59.6,58.1,56.8,55.6,54.4,53.1,51.7,50.2,48.6,47,45.5,44.2,42.8
Greece,,,,,,49.9,50.1,50.2,49.8,49.1,48.3,47.3,46.2,45,43.6,42.3,41.2,39.9,38.3,36.1,33.7,31.9,30.8,30.1,29.4,28.5,27.3,25.9,24.3,22.8,21.3,19.9,18.7,17.7,16.7,15.8,14.9,13.9,12.9,12,11.3,10.7,10.3,9.8,9.4,9.1,8.7,8.3,7.8,7.4,6.9,6.5,6,5.5,5.2,4.8,4.6,4.4,4.3,4.2,4.1,4,3.9,3.8,3.7,3.6
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,19.4,19.3,19.2,18.9,18.5,18,17.4,16.7,16.1,15.6,15.1,14.7,14.3,14,13.8,13.6,13.3,13.1,12.9,12.6,12.4,12.3,12.1,12,12,11.9,11.8,11.5,11.4,11.1,10.8
Guatemala,,,,,,,,155,151.8,148.8,146,143.3,140.7,138,135.3,132.6,129.9,127.1,124.2,121.2,118.2,115.2,112.1,109.1,106,102.9,99.9,96.8,93.7,90.7,87.7,84.7,81.8,78.9,76.1,73.2,70.4,67.7,65,62.4,59.8,57.3,55,52.7,50.6,48.5,46.6,44.7,43,41.4,39.9,38.5,37.1,35.9,34.6,33.5,32.3,31.2,30.2,29.3,28.4,27.5,26.6,25.9,25.1,24.3
Guinea,,,,,,,,,,,,210.5,209.1,207.6,206.1,204.5,202.6,200.9,199,197.1,195.2,193.2,191.1,189.1,186.8,184.5,181.9,179.1,176.2,173.2,170.2,167.3,164.3,161.4,158.5,155.7,152.8,150,147.1,144,140.8,137.3,133.7,129.9,126.2,122.3,118.5,114.7,110.9,106.9,103.1,99.2,95.4,91.7,88.2,84.9,81.9,79,76.3,73.7,71.2,68.9,66.8,64.7,62.8,61
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.9,143.1,140.4,137.9,135.5,132.9,130.2,127.6,124.8,122.1,119.1,116.2,113.1,110.1,106.9,103.8,100.5,97.1,93.7,90.1,86.7,83.3,79.9,76.6,73.4,70.3,67.4,64.8,62.4,60.3
Guyana,108.3,103.7,99.2,94.7,90.2,85.8,81.6,77.6,74,70.7,67.7,65.1,62.9,61,59.5,58.3,57.3,56.6,56,55.6,55.4,55.2,55,54.9,54.8,54.6,54.4,54.1,53.8,53.5,53.2,52.8,52.4,51.9,51.4,50.8,50.2,49.4,48.6,47.6,46.6,45.5,44.5,43.4,42.3,41.4,40.5,39.6,38.8,37.9,37.2,36.5,35.8,35.3,34.8,34.4,34.1,33.9,33.8,33.7,33.5,33.5,33.3,33,32.6,32
Haiti,,,,,,,209,205.3,201.7,198.2,194.8,191.5,188.3,185.2,182.2,179.1,176,172.9,169.8,166.6,163.4,160.1,156.6,153,149.5,146,142.6,139.2,135.8,132.5,129.4,126.2,123,120,117.1,114.3,111.5,108.8,106.1,103.5,101,98.4,95.8,93.1,90.4,87.8,85.1,82.4,79.9,77.4,75,72.8,70.7,68.9,67.2,65.6,64.1,62.7,61.3,60,85.5,57.5,56.2,54.8,53.5,52.2
Honduras,,,,,,,160.2,154.9,149.9,145.2,140.9,136.6,132.4,128.4,124.5,120.5,116.7,113.1,109.5,105.8,102.2,98.7,95.2,91.7,88.3,85,81.7,78.5,75.3,72.2,69.2,66.3,63.5,60.8,58.2,55.8,53.4,51.2,49.1,47.1,45.1,43.3,41.5,39.9,38.4,36.9,35.6,34.3,36.8,31.8,30.5,29.4,28.2,27.1,26,25,24.1,23.2,22.3,21.4,20.7,19.9,19.2,18.6,18,17.4
Hungary,,,,,64.2,64.5,64.5,63,59.9,56.4,53.4,51,49,47.3,45.8,44.4,43.2,42,41,39.9,39,38.5,38.4,38.6,38.1,35.8,32.5,29.4,27.1,25.3,23.8,22.6,22,22,21.9,21.4,20.6,19.4,18.4,17.6,16.9,16.2,15.4,14.2,13,12.1,11.5,11.1,10.7,10.2,9.7,9.1,8.6,8,7.5,7.2,6.8,6.5,6.2,5.9,5.7,5.5,5.4,5.4,5.3,5.3
Iceland,,24,22.9,21.8,20.8,20,19.3,18.7,18.2,17.8,17.5,17.2,16.9,16.4,16,15.5,15,14.4,13.9,13.4,12.8,12.3,11.8,11.3,10.8,10.3,9.8,9.2,8.7,8.3,7.8,7.4,7,6.7,6.4,6.1,5.9,5.6,5.5,5.2,5.1,4.9,4.7,4.5,4.3,4.1,3.9,3.7,3.5,3.3,3.1,3,2.8,2.7,2.6,2.4,2.3,2.2,2.1,1.9,1.9,1.8,1.7,1.6,1.6,1.6
India,,,,186.6,183.2,179.8,176.7,173.7,170.8,167.9,165.1,162.5,160.1,157.6,155.3,153.2,151,148.9,146.9,144.8,142.8,140.6,138.3,135.8,133.1,130.3,127.2,124,120.7,117.5,114.3,111.3,108.4,105.7,103.1,100.6,98.1,95.6,93.1,90.7,88.3,86.1,83.9,81.7,79.6,77.5,75.4,73.1,70.9,68.6,66.4,64.2,62,59.9,57.8,55.8,53.9,51.9,50,48.2,46.3,44.4,42.6,40.9,39.3,37.9
Indonesia,,192.2,186.6,181.2,175.9,170.8,165.9,161.2,156.7,152.4,148.4,144.8,141.2,137.7,134.1,130.6,127,123.4,119.8,116.4,113.1,109.9,106.7,103.6,100.6,97.8,95.1,92.5,90,87.7,85.4,83.1,80.8,78.5,76.2,74,71.6,69.3,67,64.6,62.2,59.8,57.4,55.1,52.9,50.8,48.7,46.7,44.7,42.9,41.1,39.4,37.8,36.3,36,33.4,32.1,30.9,29.7,28.5,27.4,26.3,25.3,24.4,23.6,22.8
Iran (Islamic Republic of),,,,,,,,,,,,,,,,,,,,,,126,120.7,115.9,110.9,105.8,100.5,95,89.4,83.7,78.3,73.2,68.5,64.4,60.8,57.6,54.7,51.9,49.3,46.9,44.6,42.6,40.8,39.2,37.7,36.2,34.7,33.2,31.7,30.1,28.6,27.1,25.6,24.3,23,21.7,20.5,19.4,18.3,17.3,16.4,15.7,15.1,14.5,13.9,13.4
Iraq,246.2,231,216.3,202.8,190.1,178.1,167.1,156.9,147.7,139.4,131.7,124.7,118.3,112.5,107.1,102.1,97.4,93,88.9,85.1,81.5,78.1,74.9,71.9,68.9,66.2,63.6,61.2,58.9,56.9,55,53.3,51.6,50.1,48.7,47.4,46.1,45.1,44,43.1,42.3,41.6,40.8,40.2,39.5,38.9,38.3,37.6,37,36.4,35.8,35.2,34.6,34.1,33.5,33,32.4,31.8,31.2,30.6,30,29.3,28.7,27.9,27.2,26.5
Ireland,45.6,43.8,41.9,40,38.2,36.7,35.3,34,32.8,31.6,30.4,29.2,28,27,26,24.7,23.3,21.9,20.7,19.7,19,18.5,18.3,18,17.5,17,16.2,15.2,14.2,13,12,11.2,10.4,9.8,9.3,8.9,8.7,8.4,8.3,8,7.7,7.2,6.8,6.4,6.2,6.1,6.1,6.1,6.1,6.1,5.9,5.8,5.4,5.1,4.7,4.4,4.1,3.9,3.8,3.6,3.5,3.4,3.4,3.2,3.1,3
Israel,,,,,,,,,,,,,,,,,,,,,,,,,25,22.4,20.3,18.6,17.2,16.1,15.3,14.6,14,13.5,12.8,12.1,11.5,11,10.4,10.1,9.7,9.2,8.7,8.2,7.6,7.2,6.7,6.4,6.1,5.9,5.6,5.4,5.2,4.9,4.7,4.5,4.3,4.1,3.9,3.8,3.7,3.5,3.4,3.3,3.3,3.2
Italy,71.2,65.8,61.1,56.9,53.5,51,49.3,48.1,47,45.6,44.2,42.7,41,39.2,37.3,35.7,34.3,33.1,32,30.9,29.7,28.2,26.5,24.5,22.5,20.5,18.7,17.3,16.1,15.1,14.3,13.4,12.6,11.9,11.2,10.5,9.9,9.4,9.1,8.7,8.3,8,7.7,7.3,6.9,6.4,6,5.6,5.3,5,4.7,4.4,4.3,4,3.8,3.7,3.7,3.6,3.5,3.5,3.4,3.3,3.2,3.1,3,2.9
Jamaica,,,86.6,83,79.6,76.3,73.1,70.1,67.3,64.6,62,59.8,57.7,55.8,54,52.4,50.8,49.3,47.9,46.3,44.8,43.3,41.8,40.3,39,37.8,36.7,35.6,34.7,33.8,32.9,32.1,31.3,30.5,29.7,29,28.3,27.5,26.8,26.1,25.4,24.7,24,23.3,22.6,21.9,21.2,20.5,19.9,19.3,18.7,18.2,17.8,17.4,17.1,16.9,16.7,16.5,16.2,15.9,15.5,15.1,14.8,14.4,13.9,13.5
Japan,57.8,53.6,49.9,46.6,43.7,41.4,39.2,37.2,35.1,32.9,30.4,27.9,25.5,23.2,21,19.1,17.5,16.3,15.1,14.2,13.4,12.6,11.9,11.3,10.6,10,9.4,8.8,8.3,7.9,7.4,6.9,6.5,6.2,5.8,5.5,5.2,5,4.8,4.7,4.6,4.5,4.4,4.3,4.3,4.1,4,3.8,3.6,3.4,3.3,3.1,3,2.9,2.9,2.7,2.7,2.6,2.5,2.4,2.4,2.3,2.2,2.1,2.1,2
Jordan,183.6,174.1,164.9,156.3,148,140.5,133.2,126,119.4,113.3,107.5,101.9,96.6,91.6,87.1,82.8,78.9,75.2,71.8,68.6,65.7,62.9,60.2,57.8,55.5,53.3,51.2,49.1,47.2,45.3,43.5,41.8,40.2,38.6,37.1,35.7,34.3,33.1,32,30.9,30,29.1,28.3,27.5,26.8,26.2,25.5,24.9,24.3,23.8,23.2,22.6,22.1,21.5,20.9,20.4,19.9,19.3,18.8,18.3,17.8,17.3,16.8,16.3,15.8,15.4
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,68.2,66.9,65.6,64.5,63.4,62.4,61.4,60.3,59.2,57.8,56.3,54.7,53,51.4,49.9,48.5,47.1,46,45.2,44.7,44.5,44.7,44.9,45,44.8,44,42.7,41.1,39.4,37.5,35.7,33.9,32.1,30.3,28.6,26.8,24.8,23,21.1,19.3,17.5,16,14.6,13.5,12.6
Kenya,,,180.7,170.3,160.6,151.7,143.5,136.1,129.5,123.8,118.6,114,109.9,106.5,103.6,101.2,99,97.1,95.2,93.3,91.3,89.3,87.3,85.2,83,80.7,78.4,76,73.7,71.5,69.4,67.5,65.8,64.4,63.4,62.7,62.5,62.7,63.4,64.5,65.8,67.4,68.9,70.4,71.4,71.9,71.7,71.1,69.9,68.4,66.5,64.5,62.2,59.7,57.2,54.3,51.8,49.5,46.2,44.3,42.4,40.3,39.2,38,36.6,35.5
Kiribati,,,,,,,,,,,,,,122.2,117.8,113.9,110.1,106.5,103.2,100,97.3,94.8,92.6,90.8,89.5,88.5,87.7,87.2,86.8,86.5,86.1,85.7,85.1,84.2,83,81.4,79.5,77.2,74.7,72,69.4,67,65,63.2,61.6,60.3,58.9,57.5,56.1,54.6,53.2,51.9,50.9,50.1,49.7,49.5,49.5,49.5,49.3,48.9,48.3,47.5,46.6,45.6,44.6,43.6
Kuwait,,,,,,,,,,108.3,101.6,95.2,89,83.3,77.8,72.6,68,63.7,60,56.6,53.5,50.6,47.9,45.3,42.8,40.5,38.2,36,33.9,31.8,29.6,27.4,25.2,23,21.1,19.7,18.5,17.6,16.8,16.1,15.3,15.3,14,13.5,13.1,12.7,12.3,11.9,11.5,11.1,10.9,10.7,10.6,10.4,10.3,10.1,10,9.8,9.7,9.5,9.2,8.9,8.5,8.1,7.7,7.3
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,87.9,86.1,84.5,82.8,80.9,78.8,76.4,73.7,70.7,67.5,64.4,61.4,58.7,56.5,54.9,54.1,53.8,53.6,53.3,52.6,51.3,49.5,47.5,45.5,43.5,41.6,39.8,38.2,36.7,35.3,34.2,33,31.7,30.1,28.4,26.5,24.6,22.9,21.4,20.1,19
Lao People's Democratic Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.6,137.1,134.7,132.3,130,127.7,125.3,123,120.6,118.4,116.1,113.6,111.1,108.6,105.9,103.1,100.2,97.4,94.4,91.5,88.7,86,83.2,80.5,77.8,75.2,72.7,70.2,67.8,65.5,63.2,61,59,57.1,55.4,53.7,52.3,50.7
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4,19.4,19.4,19.1,18.7,17.8,16.8,15.7,15,14.8,15.4,16.6,18,19.1,19.6,19.9,19.7,19.1,18.1,16.9,15.7,14.5,13.6,12.8,12.2,11.4,10.7,10.1,9.6,9.1,8.6,8.2,7.8,7.6,7.4,7.2,6.9
Lebanon,,,,,,,64.4,62.7,61,59.3,57.6,56.1,54.7,53.4,52.3,51.4,50.5,49.8,49.1,48.6,48.1,47.6,47.2,46.6,46.1,45.4,44.6,43.6,42.6,41.5,40.3,39.1,37.8,36.4,35,33.6,32.2,30.8,29.4,28.2,26.9,25.8,24.7,23.7,22.7,21.8,20.8,19.9,19,18.1,17.1,16.1,15.1,14.1,13.1,12.1,11.2,10.4,9.7,9.2,8.7,8.3,7.9,7.6,7.3,7.1
Lesotho,,,171.3,166.6,162,157.6,153.7,150.1,147.2,144.9,143.3,142.3,141.7,141.5,141.3,140.9,140.1,138.9,137,134.5,131.6,128.7,125.4,122,118.4,114.6,110.4,106.2,101.8,97.6,93.5,89.5,85.8,82.7,79.8,77.4,75.3,73.7,72.3,71.4,70.8,70.6,71.1,72.3,74.3,76.6,78.8,80.5,81.8,83,84.1,85.2,86.3,87.3,87.9,88.1,87.5,84.3,84.5,78.8,75.2,71.9,72.3,71.9,70.5,69.2
Liberia,,,,,,,,210.5,211.1,211.6,212,212.1,211.4,210.4,208.8,206.8,204.6,201.7,198.5,194.9,191.3,187.8,184.4,181,177.5,174.2,171.3,168.3,165.7,163.1,160.8,158.7,157.1,156.1,155.9,156.7,158.6,161.5,164.6,167.7,170.1,171.2,170.3,167.8,163.7,158.3,151.9,145.2,138.1,130.6,123,115.6,108.2,101,94,87.6,81.9,76.9,72.5,68.6,65.2,62.1,59.4,56.9,54.7,52.8
Libya,,,,,,,,,,173.4,164.5,156.1,148.4,140.9,133.5,126.6,119.8,113.3,107.1,101.4,96,90.9,86,81.3,76.9,72.8,69,65.6,62.5,59.6,57,54.6,52.2,49.9,47.6,45.5,43.4,41.3,39.3,37.3,35.5,33.8,32.2,30.8,29.6,28.4,27.4,26.5,25.7,24.9,24.2,23.4,22.7,21.9,20.9,19.8,18.6,17.3,16.1,15.1,14.3,13.9,12.9,12.4,11.9,11.4
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,24.1,23.3,22.1,20.5,18.9,18.4,18.9,19.8,20.2,20.1,19.7,19.3,18.8,18.1,17.6,17.1,16.6,16.1,15.4,14.5,13.6,12.8,12.5,13.4,14.9,16.1,16,14.9,13.5,12,11,10.4,10,9.6,9.2,8.9,8.7,8.4,8.1,7.7,7.2,6.7,6.1,5.6,5,4.5,4,3.6,3.3
Luxembourg,,,,,,,,,,,,,,,25.4,24.4,23.4,22.4,21.3,20.3,19.3,18.1,17.1,16.1,15.1,14.2,13.4,12.8,12.2,11.7,11.2,10.9,10.5,10.1,9.7,9.4,8.9,8.5,8.1,7.7,7.3,6.8,6.3,6,5.6,5.2,4.9,4.6,4.4,4.1,3.9,3.7,3.4,3.3,3,2.8,2.6,2.4,2.2,2,1.9,1.8,1.6,1.6,1.6,1.5
Madagascar,,,,,,,,,,,,,,,,,,,91.5,92.4,93.2,94.2,95.3,96.7,98.2,99.5,100.8,101.9,103,104.1,105.4,107,108.5,109.6,110,109.6,108.3,106.4,103.9,101,98.1,95.4,92.9,90.7,88.4,85.9,83.1,80,76.7,73.2,69.7,66.2,62.9,59.7,56.5,53.5,50.6,47.9,45.7,43.8,42.1,40.6,39.3,38.1,37,35.9
Malawi,,,,,,,,,,,,,,,214.3,213.3,212.3,211.5,210.8,209.6,207.7,204.8,200.6,195.5,189.9,184,177.5,170.6,163.8,157.4,151.8,147.3,144.4,143.4,144.6,146.9,149,149.6,148.6,146.2,142.5,137.9,133.1,128.6,124.9,121.9,119.5,117.1,113.9,109.4,103.5,96.5,88.8,81.6,75.5,70.7,67.1,64.5,61.7,59.6,57.5,53.8,50.2,47.3,45.1,43.4
Malaysia,,,,,,,82.6,78.4,74.5,70.8,67.4,64.2,61.1,58.3,55.8,53.4,51.2,49.1,47.2,45.3,43.5,41.7,39.8,38,36.1,34.2,32.4,30.5,28.8,27,25.4,23.8,22.4,21,19.7,18.6,17.5,16.6,15.7,15,14.3,13.6,13,12.4,11.9,11.5,11.1,10.7,10.1,9.4,8.7,8.1,7.6,7.3,7.1,7,6.9,6.9,6.9,6.9,6.8,6.7,6.6,6.4,6.2,6
Maldives,,,,,,,,,,,,,,217.1,211.1,205.3,199.2,193.1,186.9,180.5,174,167.1,159.7,152,144.4,137.2,130.3,123.7,117.7,112.1,106.8,101.9,97.3,92.9,88.8,84.9,81.2,77.7,74.4,71.2,68.2,65.3,62.5,59.5,56.5,53.4,50.1,46.7,43.1,39.4,35.6,31.8,28.3,24.9,22.6,19.4,17.2,15.3,13.7,12.4,11.2,10.1,9.2,8.4,7.8,7.4
Mali,,,,,,,,,,,,,,216.5,212.8,209.2,206.1,203,200.3,197.9,195.7,193.5,191.1,188.2,184.8,180.9,176.9,172.8,168.7,164.8,161.2,157.7,154.2,150.5,147,143.7,140.7,137.8,135.2,132.8,130.6,128.7,127.3,126.2,125.3,124.5,123.6,122.6,121,118.9,116,112.6,108.8,104.7,100.6,96.7,93.2,90.1,87.5,85,82.9,81,79.2,77.6,75.9,74.5
Malta,,,,,51.1,48.1,45.3,42.7,40.2,38.1,36.4,34.9,33.7,32.6,31.6,30.6,29.5,28.3,27.2,26,24.7,23.6,22.3,21.2,20.1,19,17.9,17,16.2,15.6,15,14.4,13.9,13.4,12.8,12.3,11.7,11.3,10.9,10.4,10,9.7,9.3,9,8.7,8.4,8,7.6,7.4,7.1,6.8,6.6,6.4,6.2,6.1,6,5.9,5.9,5.8,5.7,5.6,5.6,5.5,5.3,5.2,5.1
Marshall Islands,,,,,,,,,,93.7,90.4,87,83.8,80.8,77.9,75.2,72.6,70.2,68,65.9,64,62.3,60.7,59.5,58.4,57.5,56.7,55.9,55.1,54.2,53.2,52.1,50.9,49.6,48.2,46.8,45.5,44.1,42.6,41.1,39.7,38.3,37,35.8,34.9,34.2,33.8,33.6,33.5,33.5,33.5,33.3,33.2,33,32.7,32.5,32.4,32.2,32.1,31.9,31.8,31.6,31.2,30.8,30.2,29.6
Mauritania,161.9,159.7,157.3,154.8,152.1,149.5,146.7,143.8,140.9,137.9,135,131.9,128.9,126,123.1,120.3,117.6,114.8,112.2,110,108.5,107.5,107,106.6,106.1,105.1,103.6,102,100.1,98.1,96.3,94.4,92.5,90.6,88.5,86.3,84.1,82.1,80.4,79,77.9,77.2,76.7,76.4,76.3,76.3,76.3,76.3,76.3,76.2,76.2,76,75.9,75.7,75.3,74.7,74,73.1,72.1,71.1,70.1,69.2,68.1,67.2,66.1,65.1
Mauritius,,,,,,,84.4,76.7,71.9,69.2,67.8,66.3,63.6,59.9,58.1,60.5,65.5,68.4,66.5,62.8,60.3,59.4,58.7,57.4,54.5,49.6,44.1,39.5,36.3,34,32.3,30.5,28.3,25.7,23.9,23.7,24.4,24.4,23.1,21.3,19.9,18.8,18.4,18.4,18.8,19.4,19.9,19.8,19,17.8,16.4,15.1,14.2,13.8,13.7,13.8,14,14.1,13.9,13.6,13.3,13.1,12.8,12.6,12.2,11.8
Mexico,,,,,,,,,,,,,,90.8,89.3,87.6,86,84.1,82,79.8,77.5,75.1,72.7,70.5,68.5,66.6,64.7,62.8,60.7,58.5,56.1,53.7,51.4,49.2,47.3,45.5,43.8,42.1,40.5,38.8,37.1,35.4,33.7,32,30.4,28.8,27.3,25.8,24.3,22.9,21.6,20.4,19.3,18.2,17.4,16.7,16.2,15.8,15.4,15,14.4,13.8,13.1,12.5,11.9,11.3
Micronesia (Federated States of),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.4,45,45.4,45.7,45.6,45.4,45,44.4,43.9,43.4,43.1,43,43,43.1,43.3,43.5,43.6,43.3,42.9,42.2,41.5,40.6,39.6,38.6,37.7,36.6,35.7,34.7,33.8,32.9,32,31.1,30.2,29.4,28.6
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,6.4,6,5.8,5.5,5.3,5.1,4.9,4.7,4.5,4.3,4.2,4.1,3.9,3.8,3.7,3.7,3.6,3.5,3.4,3.3,3.2,3.2,3.1,3,2.9,2.8
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.8,117.4,113.3,109.3,105.6,101.9,98.3,94.6,91,87.3,83.7,80.3,76.9,73.8,70.7,67.8,65,62.2,59.4,56.6,53.8,51,48.2,45.3,42.5,39.8,37.3,34.9,32.7,30.6,28.6,26.8,25,23.4,22.1,20.9,19.9,19
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8,21.8,19.9,18.2,16.8,15.7,14.9,14.3,14,13.8,13.7,13.6,13.6,13.5,13.2,13,12.5,12,11.5,10.9,10.1,9.5,8.8,8.2,7.4,6.8,6.3,5.7,5.3,4.9,4.6,4.3
Morocco,,,,,,,154.4,152,149.6,147.3,145,142.7,140.4,138,135.5,133,130.4,127.9,125.4,123,120.8,118.8,116.8,114.7,112.4,109.9,107.1,104,100.7,97.4,94,90.6,87.3,83.9,80.6,77.2,74.1,71,68.2,65.6,63.1,60.8,58.5,56.2,54.1,51.8,49.7,47.7,45.8,43.9,42.2,40.5,38.9,37.4,35.9,34.5,33.2,31.9,30.7,29.6,28.5,27.4,26.4,25.5,24.6,23.7
Mozambique,,,,,,,,,,,,,,,,185.6,185,184.1,183.5,182.6,181.9,181.2,180.5,179.8,179,178,177.2,176.4,175.7,175.1,174.6,174.1,173.3,172.3,170.9,169.2,167.5,165.7,163.8,161.8,159.7,157.4,154.7,151.5,147.8,143.4,138.3,132.7,126.6,120.7,115,109.3,104,99.1,94.6,90.4,86.6,81.5,78,74.3,71.9,68.1,63.6,60.9,58.5,56.7
Myanmar,,,,,,,,,,,,,,,,,,,126.6,123.9,121.4,118.9,116.5,114,111.6,109.1,106.8,104.3,101.9,99.6,97.3,95.2,93.1,91.2,89.2,87.3,85.5,83.7,81.9,80.1,78.3,76.4,74.6,72.7,70.8,69,67.3,65.6,63.9,62.3,60.7,59.2,57.7,56.2,54.7,53.2,51.7,50.2,53.4,47.3,45.8,44.5,43.2,41.9,40.7,39.5
Namibia,,,,,,,,,,,,,,,,,,62.3,62.3,62.5,62.6,62.8,62.9,63.1,63.3,63.4,63.6,63.7,63.7,63.6,63.2,62.5,61.5,60.2,58.7,57.1,55.4,53.8,52.3,50.8,49.6,48.5,47.8,47.5,47.4,47.6,48,48.4,48.9,49.2,49.4,49.2,48.7,48.1,47.1,45.3,44.1,42.7,41.3,39.2,37.5,36,35.5,34.3,33.4,32.8
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.3,42.9,41.6,40.4,39.2,38.1,37,35.9,34.9,34,33.3,32.6,32.1,31.7,31.5,31.5,31.7,32,32.2,32.2,32,31.5,31,30.4,29.7,29.1
Nepal,,,,,,,225.7,224.7,223.7,222,219.6,216.7,213.3,209.4,205.2,200.7,195.9,191.3,186.8,182.6,178.6,174.6,170.9,167.2,163.6,159.9,156.2,152.3,148.3,144.3,140.3,136.2,132.1,128,123.9,119.7,115.4,111.1,106.7,102.3,97.7,93.2,88.9,84.7,80.7,76.8,73.1,69.6,66.2,62.8,59.6,56.7,53.8,51.2,48.7,46.3,44.1,42,40,38.1,36.3,34.6,33.1,31.7,30.5,29.4
Netherlands,25,23.9,22.8,21.7,20.7,19.8,18.9,18.2,17.5,17,16.4,16.1,15.6,15.3,14.9,14.5,14.2,13.8,13.4,13.1,12.6,12.2,11.7,11.3,10.9,10.5,10.1,9.7,9.3,9,8.8,8.6,8.4,8.2,8,7.9,7.7,7.5,7.2,7,6.8,6.5,6.3,6.1,5.8,5.7,5.5,5.3,5.3,5.2,5.1,5,4.9,4.7,4.6,4.5,4.3,4.2,4,3.8,3.7,3.6,3.5,3.3,3.3,3.2
New Zealand,28.5,28,27.3,26.6,25.9,25.2,24.8,24.3,23.8,23.3,22.6,21.7,20.9,20,19.3,18.7,18.3,17.9,17.5,17.2,16.9,16.5,16.2,15.8,15.4,14.9,14.4,13.9,13.5,13.1,12.7,12.4,12.1,11.9,11.6,11.3,11,10.6,10.2,9.7,9.2,8.7,8.2,7.8,7.5,7.1,6.9,6.6,6.4,6.2,6.1,5.9,5.8,5.7,5.5,5.4,5.3,5.3,5.3,5.2,5.1,5,4.9,4.9,4.8,4.7
Nicaragua,,,,,,141.3,139.7,138.1,136.8,135.4,134,132.5,131.1,129.7,128.2,126.6,125,123.1,121.1,118.9,116.6,114,111.2,107.9,104.2,100.3,95.9,91.3,86.7,82.1,77.8,73.7,69.9,66.6,63.6,60.9,58.6,56.5,54.5,52.7,50.9,49,47.1,45.2,43.3,41.4,39.5,37.6,37,34.2,32.6,31.2,29.8,28.6,27.4,26.3,25.3,24.4,23.5,22.7,22,21.3,20.6,20,19.4,18.8
Niger,,,,,,,,,,,,,,,,,,133.1,134.5,136.1,137.6,139.1,140.4,141.4,141.8,141.4,140.5,138.9,137.2,135.7,134.8,134.6,135.3,136.7,138.3,139.8,140.9,141.4,140.9,139.8,138.1,135.6,132.6,128.9,124.6,119.9,115.4,111.3,107.7,104.3,101.1,97.7,94.1,90.2,86.2,82.3,78.7,75.2,71.9,68.9,66.1,63.7,61.6,59.8,58.4,57.1
